Entity,Code,Year,$10 - total number of people above poverty line,$5.50-$10 - total number of people between poverty lines,$3.20-$5.50 - total number of people between poverty lines,$1.90-$3.20 - total number of people between poverty lines,$1.90 - total number of people below poverty line
Honduras,HND,2004,1343043,1284678,1407186,1227297,2020749
Honduras,HND,2005,1508461,1369520,1444717,1114310,2021974
Honduras,HND,2006,1765781,1602808,1419528,1088752,1757426
Honduras,HND,2007,1986512,1643478,1630783,1176007,1371740
Honduras,HND,2008,2116469,1821604,1579469,1115323,1348090
Honduras,HND,2009,2278410,1990441,1612138,1115365,1154426
Honduras,HND,2010,2250888,1857284,1718935,1196435,1293925
Honduras,HND,2011,2182833,1986121,1767781,1188927,1355008
Honduras,HND,2012,1929800,1853316,1775703,1440039,1641834
Honduras,HND,2013,2058970,2006157,1954182,1334586,1444629
Honduras,HND,2014,2059851,2196287,1849377,1487251,1362813
Honduras,HND,2015,2131939,2224503,1941845,1454517,1360100
Honduras,HND,2016,2396985,2262185,1795197,1322854,1493573
Honduras,HND,2017,2317296,2365004,1980224,1311097,1455395
Honduras,HND,2018,2474682,2277129,1996873,1322977,1515862
Honduras,HND,2019,2533598,2437954,1947424,1386808,1440331
Honduras - urban,,1986,80907,140080,248539,332313,888132
Hungary,HUN,1987,10286574,295963,19428,5181,5595
Hungary,HUN,1989,3977484,5259755,1196739,42215,5526
Hungary,HUN,1991,8847900,956098,337029,83371,149002
Hungary,HUN,1993,7787850,2355638,173180,24018,16837
Hungary,HUN,1994,7685500,1962252,464524,134751,96328
Hungary,HUN,1998,5948876,3666138,578995,68215,4346
Hungary,HUN,1999,5833990,3752171,619457,29991,1921
Hungary,HUN,2000,6045370,3547772,579933,37896,0
Hungary,HUN,2001,7217280,2565253,385658,19385,0
Hungary,HUN,2002,7337586,2526093,288176,6753,0
Hungary,HUN,2003,7510760,2191717,382613,42625,1837
Hungary,HUN,2004,7874036,1911888,282010,39212,0
Hungary,HUN,2005,7938987,1806702,324254,17122,0
Hungary,HUN,2006,8013704,1754880,291048,11738,0
Hungary,HUN,2007,7985429,1753810,269064,47477,0
Hungary,HUN,2008,8663392,1226721,132173,14583,1319
Hungary,HUN,2009,8507692,1370424,130453,7861,6220
Hungary,HUN,2010,8422244,1328491,222579,20842,5867
Hungary,HUN,2011,8467096,1228602,247389,20401,8239
Hungary,HUN,2012,8006920,1481949,368433,32722,30338
Hungary,HUN,2013,8051377,1419191,346082,65833,10599
Hungary,HUN,2014,8267101,1289242,210733,35877,63515
Hungary,HUN,2015,8457601,1116648,163159,49530,56090
Hungary,HUN,2016,8745685,808390,82841,46501,130606
Hungary,HUN,2017,8906132,584569,176590,62736,57939
Hungary,HUN,2018,9010039,565525,150042,29671,20287
Hungary,HUN,2019,9207862,385545,108934,42317,26483
Iceland,ISL,2003,286846,1723,843,109,0
Iceland,ISL,2004,289985,1037,555,0,497
Iceland,ISL,2005,294056,2063,415,90,110
Iceland,ISL,2006,301938,793,206,399,446
Iceland,ISL,2007,310162,813,181,159,251
Iceland,ISL,2008,316153,954,114,0,193
Iceland,ISL,2009,316125,1891,173,0,310
Iceland,ISL,2010,315385,1862,178,141,475
Iceland,ISL,2011,314543,2834,949,295,393
Iceland,ISL,2012,318222,1834,466,86,108
Iceland,ISL,2013,322559,919,0,134,152
Iceland,ISL,2014,325526,1561,214,85,0
Iceland,ISL,2015,329408,982,311,0,114
Iceland,ISL,2016,334388,671,112,268,0
Iceland,ISL,2017,342606,653,79,62,0
India,IND,1977,4136177,14738766,54702939,167146653,411684231
India,IND,1983,4973137,20793895,77866789,223155138,422639999
India,IND,1987,8310084,26971008,98862427,270980415,414558161
India,IND,1993,6922458,34302251,126147612,318379008,441652537
India,IND,2004,18623857,61068687,188494698,410702774,450733450
India,IND,2009,24955749,83191739,243877258,465850588,399850883
India,IND,2011,39625798,117084448,321940297,490234003,281403393
India - rural,,1977,1914395,7859518,31627824,118388367,348919107
India - rural,,1983,2154228,10569025,43948672,158536010,355264882
India - rural,,1987,4000479,13696339,58259929,200186824,340068838
India - rural,,1993,2525617,13508630,71650811,230856131,365966330
India - rural,,2004,7024388,24569260,105148041,302509090,363877617
India - rural,,2009,6986793,29512713,139048588,349183500,320528705
India - rural,,2011,12018804,52052884,198527704,370844164,225804327
India - urban,,1977,2221782,6879248,23075115,48758286,62765124
India - urban,,1983,2818909,10224871,33918116,64619128,67375117
India - urban,,1987,4309605,13274669,40602499,70793590,74489323
India - urban,,1993,4396841,20793621,54496801,87522877,75686207
India - urban,,2004,11599470,36499426,83346657,108193684,86855833
India - urban,,2009,17968956,53679026,104828670,116667089,79322177
India - urban,,2011,27606994,65031564,123412593,119389840,55599065
Indonesia,IDN,1984,442430,3003310,11721104,35707443,110649066
Indonesia,IDN,1987,627590,2625779,11159194,40262236,117027957
Indonesia,IDN,1990,1079333,5622947,19847281,55211408,99652429
Indonesia,IDN,1993,1515412,5841206,21387242,57522530,104584794
Indonesia,IDN,1996,2994355,10359431,31373761,68110875,87062809
Indonesia,IDN,1998,769885,4232434,17959582,52821897,129940799
Indonesia,IDN,1999,1846572,9249563,35605949,83865594,78047493
Indonesia,IDN,2000,1821460,8634060,37677292,89587805,73793205
Indonesia,IDN,2001,2321291,10540977,41645394,92973375,66946382
Indonesia,IDN,2002,5504702,19224448,59370189,91990543,41267908
Indonesia,IDN,2003,5770697,22821877,60072791,89029997,42614111
Indonesia,IDN,2004,6403374,22537431,60836726,86678825,46829310
Indonesia,IDN,2005,6632100,25335965,64747597,88885671,40688135
Indonesia,IDN,2006,6062978,21791885,58360601,88382394,54720404
Indonesia,IDN,2007,9457538,30136779,64455077,83464014,44860831
Indonesia,IDN,2008,8999789,30599345,68980889,82240618,44649114
Indonesia,IDN,2009,10062975,33168850,73408932,85030730,36949067
Indonesia,IDN,2010,14948655,44212937,73777250,76762425,32132959
Indonesia,IDN,2011,21133030,47071519,74109596,76026307,26775536
Indonesia,IDN,2012,23109898,48047726,77143816,76619967,23530307
Indonesia,IDN,2013,27822467,50933532,78297512,76340583,18411220
Indonesia,IDN,2014,28498089,56650628,81212872,72992537,15773950
Indonesia,IDN,2015,30035431,62147726,87266216,63913870,15020014
Indonesia,IDN,2016,35142167,70264247,81252380,61192039,13705553
Indonesia,IDN,2017,41751960,75249670,82451939,53406704,11790696
Indonesia,IDN,2018,45778450,79463074,84793604,47927186,9708235
Indonesia,IDN,2019,46343455,83034123,87271815,46676420,7299754
Indonesia,IDN,2020,48996056,85270107,87903521,45193426,6160511
Indonesia,IDN,2021,49722878,87849901,89133978,43676557,5978474
Indonesia - rural,,1984,1207,1247182,5376679,21766670,92356660
Indonesia - rural,,1987,231669,922480,4975342,24899396,92880407
Indonesia - rural,,1990,1259,1971411,8810071,36095952,79051231
Indonesia - rural,,1993,204468,1268145,8303667,35436588,81115348
Indonesia - rural,,1996,398601,2549187,13050147,43066145,66403928
Indonesia - rural,,1998,93281,753415,5449290,26994918,90981153
Indonesia - rural,,1999,280102,2218427,15248287,51760652,54009402
Indonesia - rural,,2000,226398,2303004,16484389,53950230,49709765
Indonesia - rural,,2001,309273,2484201,17115009,56594528,46185925
Indonesia - rural,,2002,665513,5348710,27154584,57797413,31693128
Indonesia - rural,,2003,592083,5381869,28483566,57017074,31114411
Indonesia - rural,,2004,692223,5271231,28385208,53186686,34939073
Indonesia - rural,,2005,1074760,7278395,28529370,55478309,29966727
Indonesia - rural,,2006,1016319,6014445,24052457,52019610,39036662
Indonesia - rural,,2007,1583618,9060155,29648816,50037055,31585500
Indonesia - rural,,2008,1570771,9283445,31677440,49368397,29755396
Indonesia - rural,,2009,1940627,10269354,34759091,50816239,23591420
Indonesia - rural,,2010,2855345,16570410,37415514,44059677,20224144
Indonesia - rural,,2011,5216820,19176541,37435055,43279127,15992011
Indonesia - rural,,2012,5015514,19491050,39182373,43925948,13440728
Indonesia - rural,,2013,5095940,21670701,42105062,42369443,9738717
Indonesia - rural,,2014,5883861,24903803,43110377,39079173,7864199
Indonesia - rural,,2015,7384627,26443392,46175773,33510590,7117009
Indonesia - rural,,2016,8462589,29470084,44758423,31040629,6612984
Indonesia - rural,,2017,9869741,35294675,42598747,26769011,5463222
Indonesia - rural,,2018,11692365,37317554,41745754,24193296,4632849
Indonesia - rural,,2019,11574695,38067281,42813483,23419062,3241322
Indonesia - rural,,2020,12677368,38854018,42342784,22208564,2514373
Indonesia - rural,,2021,14115546,39575061,41771800,20239426,2332287
Indonesia - urban,,1984,441222,1756129,6344425,13940773,18292406
Indonesia - urban,,1987,395921,1703299,6183852,15362840,24147550
Indonesia - urban,,1990,1078074,3651536,11037210,19115455,20601199
Indonesia - urban,,1993,1310944,4573061,13083575,22085941,23469447
Indonesia - urban,,1996,2595754,7810244,18323614,25044730,20658881
Indonesia - urban,,1998,676604,3479019,12510292,25826979,38959646
Indonesia - urban,,1999,1566470,7031136,20357663,32104941,24038091
Indonesia - urban,,2000,1595062,6331056,21192903,35637575,24083440
Indonesia - urban,,2001,2012018,8056776,24530385,36378847,20760457
Indonesia - urban,,2002,4839189,13875739,32215604,34193130,9574780
Indonesia - urban,,2003,5178615,17440007,31589225,32012923,11499700
Indonesia - urban,,2004,5711151,17266200,32451518,33492139,11890237
Indonesia - urban,,2005,5557340,18057570,36218227,33407362,10721408
Indonesia - urban,,2006,5046659,15777440,34308144,36362784,15683742
Indonesia - urban,,2007,7873920,21076624,34806261,33426959,13275331
Indonesia - urban,,2008,7429018,21315899,37303450,32872221,14893718
Indonesia - urban,,2009,8122348,22899497,38649841,34214490,13357647
Indonesia - urban,,2010,12093309,27642528,36361736,32702748,11908815
Indonesia - urban,,2011,15916210,27894978,36674541,32747181,10783524
Indonesia - urban,,2012,18094384,28556676,37961442,32694020,10089579
Indonesia - urban,,2013,22726527,29262831,36192451,33971139,8672503
Indonesia - urban,,2014,22614228,31746825,38102495,33913364,7909751
Indonesia - urban,,2015,22650804,35704334,41090444,30403279,7903005
Indonesia - urban,,2016,26679578,40794163,36493957,30151410,7092569
Indonesia - urban,,2017,31882219,39954994,39853192,26637693,6327475
Indonesia - urban,,2018,34086085,42145520,43047850,23733891,5075385
Indonesia - urban,,2019,34768760,44966842,44458332,23257358,4058432
Indonesia - urban,,2020,36318689,46416088,45560737,22984862,3646138
Indonesia - urban,,2021,35607333,48274839,47362177,23437132,3646187
Iran,IRN,1986,14329856,13857763,10991584,6721431,3359629
Iran,IRN,1990,14418093,17094577,13538394,7801086,3514062
Iran,IRN,1994,19355115,18953504,13623973,6906776,1751240
Iran,IRN,1998,22792207,19043517,13151090,7159477,1825545
Iran,IRN,2005,40295299,18412863,8279106,2341425,433652
Iran,IRN,2006,40696357,18030277,8921572,2515496,391054
Iran,IRN,2009,43105302,18794969,7746302,2468631,809629
Iran,IRN,2013,45598192,22730393,6830594,1194271,128513
Iran,IRN,2014,45088983,22205471,7679597,2166091,325627
Iran,IRN,2015,44629673,23366879,8022742,2142259,330655
Iran,IRN,2016,45488800,23212664,8419933,2136801,305793
Iran,IRN,2017,48003061,21986690,8344211,2052799,287127
Iran,IRN,2018,46644272,23674719,8936740,2096875,447598
Iran,IRN,2019,42439767,25689718,11191898,3096217,496293
Iraq,IRQ,2006,2571602,9233190,11345292,3874755,423285
Iraq,IRQ,2012,3767587,11408749,11994478,4192593,526605
Ireland,IRL,1987,2690629,718414,78422,28194,24398
Ireland,IRL,1994,3232484,331593,8665,11776,5868
Ireland,IRL,1995,3268084,305740,17189,11473,6355
Ireland,IRL,1996,3387877,213435,28049,0,8149
Ireland,IRL,2000,3719756,67472,11162,0,6784
Ireland,IRL,2002,3833926,58945,29834,0,9242
Ireland,IRL,2003,3934467,46708,5651,4594,5101
Ireland,IRL,2004,4028396,29173,9166,1970,1557
Ireland,IRL,2005,4120853,30269,5117,2772,903
Ireland,IRL,2006,4214982,34880,3556,3235,16938
Ireland,IRL,2007,4365416,15573,12264,2061,3628
Ireland,IRL,2008,4433804,26722,17140,3774,8104
Ireland,IRL,2009,4431517,49231,27575,7452,19600
Ireland,IRL,2010,4436477,56430,31061,11436,24751
Ireland,IRL,2011,4451253,72585,24210,10420,21616
Ireland,IRL,2012,4501279,54572,18449,13864,11369
Ireland,IRL,2013,4510532,49338,24852,8824,30270
Ireland,IRL,2014,4576093,39253,18551,5727,18116
Ireland,IRL,2015,4644859,19575,17224,4800,15499
Ireland,IRL,2016,4694173,28786,14236,11902,6238
Ireland,IRL,2017,4772682,15215,4005,3795,11691
Ireland,IRL,2018,4860590,1207,715,4613,191
Israel,ISR,1979,2817257,789721,149086,29936,0
Israel,ISR,1986,3150299,881195,238666,18716,10124
Israel,ISR,1992,4279427,729148,103394,0,11031
Israel,ISR,1997,4714076,932278,146742,28570,14334
Israel,ISR,2001,5424978,854195,128775,15020,16032
Israel,ISR,2002,5223419,1035236,214844,64937,31564
Israel,ISR,2003,5285490,1038850,265056,69350,30954
Israel,ISR,2004,5329261,1039463,339218,67072,33986
Israel,ISR,2005,5561595,954114,327937,52960,33494
Israel,ISR,2006,5678323,970209,334699,54601,15868
Israel,ISR,2007,5943523,895658,270233,35373,35313
Israel,ISR,2008,6067937,896012,272200,37312,35339
Israel,ISR,2009,6101283,955101,335831,56584,36801
Israel,ISR,2010,6309990,991168,246324,58761,17357
Israel,ISR,2011,6505692,936523,247723,57941,17921
Israel,ISR,2012,6764837,791293,257069,58170,39131
Israel,ISR,2013,7032234,765928,180843,43923,36572
Israel,ISR,2014,7189498,740896,204365,40484,40457
Israel,ISR,2015,7397296,726001,194039,21379,41385
Israel,ISR,2016,7629269,682956,170849,42296,20630
Israel,ISR,2017,7842126,631968,153747,45602,39857
Israel,ISR,2018,8086198,620311,88044,67299,20948
Italy,ITA,1986,51932801,3828745,564241,153925,116443
Italy,ITA,1987,51798258,3267308,569133,264844,702388
Italy,ITA,1989,54700194,1690593,162020,118974,0
Italy,ITA,1991,54494671,1556013,567237,0,140600
Italy,ITA,1993,51861298,2864407,1005722,405216,695178
Italy,ITA,1995,51588931,3699204,1005268,128928,421972
Italy,ITA,1998,51805407,3110474,716831,282465,991567
Italy,ITA,2000,52834227,2404123,709937,282320,711501
Italy,ITA,2003,54810465,1454550,423882,183336,440970
Italy,ITA,2004,55489604,1339709,316913,190381,348720
Italy,ITA,2005,55630390,1339795,398674,234430,366195
Italy,ITA,2006,56079513,1245702,271869,166961,379934
Italy,ITA,2007,56457940,1058800,297726,226322,397522
Italy,ITA,2008,56489742,1363106,362669,200901,410313
Italy,ITA,2009,56714593,1302857,327169,223546,527200
Italy,ITA,2010,56220704,1586391,523915,200704,745703
Italy,ITA,2011,56420310,1518250,579702,174732,686455
Italy,ITA,2012,56036892,1780274,650574,374354,697623
Italy,ITA,2013,56594762,1943028,508231,364814,823113
Italy,ITA,2014,57007427,2114546,649239,268933,748995
Italy,ITA,2015,56737887,1903922,548942,356273,1183558
Italy,ITA,2016,57203687,1508773,552711,376604,985723
Italy,ITA,2017,57042115,1596662,797585,241884,858463
Italy,ITA,2018,57047229,1594698,510217,388880,880736
Jamaica,JAM,1988,549915,738694,613564,340611,146631
Jamaica,JAM,1990,508712,700401,710789,389409,110590
Jamaica,JAM,1993,233325,642999,837798,526110,244351
Jamaica,JAM,1996,574395,879943,738229,278353,87711
Jamaica,JAM,1999,896215,928450,541928,197257,68827
Jamaica,JAM,2002,1004549,784172,599911,230618,73593
Jamaica,JAM,2004,1047146,881214,556067,195468,45122
Japan,JPN,2008,121045203,5164302,933076,305940,614479
Japan,JPN,2010,126490509,960938,307592,310961,0
Japan,JPN,2013,124038075,1865597,339007,274664,927657
Jordan,JOR,1986,1242275,1073154,621547,78318,0
Jordan,JOR,1992,961134,1264603,1088397,555849,107684
Jordan,JOR,1997,899351,1753330,1546819,577246,71790
Jordan,JOR,2002,1424420,2002128,1435401,403191,52374
Jordan,JOR,2006,1939332,2588233,1232941,213722,17319
Jordan,JOR,2008,2122416,2925673,1321705,178927,7752
Jordan,JOR,2010,2890935,3100398,1122361,140286,7561
Kazakhstan,KAZ,1993,2071132,5370341,5372118,2715102,851979
Kazakhstan,KAZ,1996,2515705,4873841,4799720,2468090,920871
Kazakhstan,KAZ,2001,1624780,4075153,4785116,3056803,1316483
Kazakhstan,KAZ,2002,1829379,4318235,5016103,2861464,833767
Kazakhstan,KAZ,2003,2198192,4826259,4921426,2413600,549542
Kazakhstan,KAZ,2004,2358303,5425605,5132645,1833101,263330
Kazakhstan,KAZ,2005,3291737,4447669,4118347,2407758,881518
Kazakhstan,KAZ,2006,3665155,6944387,3960706,666559,71278
Kazakhstan,KAZ,2007,5176531,7162092,2788486,322247,34836
Kazakhstan,KAZ,2008,5313462,7613089,2579637,268594,2156
Kazakhstan,KAZ,2009,5384122,7642876,2741086,309318,15420
Kazakhstan,KAZ,2010,6142496,7789423,2148655,225854,15444
Kazakhstan,KAZ,2011,8543598,6857116,1063339,88086,5063
Kazakhstan,KAZ,2012,8883238,6745100,1101392,58137,4223
Kazakhstan,KAZ,2013,9861339,6428742,706907,35259,3304
Kazakhstan,KAZ,2014,9716692,6723652,811320,36166,455
Kazakhstan,KAZ,2015,9080563,7422507,987250,50597,1889
Kazakhstan,KAZ,2016,8009523,8080359,1604491,97633,2049
Kazakhstan,KAZ,2017,9090215,7773946,1111860,58253,3502
Kazakhstan,KAZ,2018,10055003,7375584,810934,33005,1926
Kenya,KEN,1992,2266498,3757194,5517335,5764611,8020442
Kenya,KEN,1994,1086514,3100721,6355765,7867034,8540474
Kenya,KEN,1997,1637402,3288201,6907445,8107473,9475139
Kenya,KEN,2005,1361482,2909479,6851538,9425127,16077271
Kenya,KEN,2015,1587771,4818867,9631730,14087373,17752598
Kiribati,KIR,2006,7193,21670,32835,20502,12141
Kiribati,KIR,2019,9660,39144,49726,17548,1530
Kosovo,OWID_KOS,2003,157531,556448,675374,280896,33217
Kosovo,OWID_KOS,2005,193712,535904,635756,281284,59124
Kosovo,OWID_KOS,2006,185137,518196,681976,272635,61592
Kosovo,OWID_KOS,2009,258223,645432,577787,223785,56247
Kosovo,OWID_KOS,2010,317623,574874,598280,241238,43665
Kosovo,OWID_KOS,2011,251841,717134,623597,168404,30024
Kosovo,OWID_KOS,2012,400190,824304,467203,105195,10214
Kosovo,OWID_KOS,2013,399419,923457,424863,64578,5800
Kosovo,OWID_KOS,2014,422054,869953,418923,83926,17915
Kosovo,OWID_KOS,2015,451797,889047,384898,49530,12924
Kosovo,OWID_KOS,2016,470718,887080,346473,59693,13593
Kosovo,OWID_KOS,2017,463329,890475,372396,56918,7885
Kyrgyzstan,KGZ,1998,371062,808492,1232256,1058060,1299130
Kyrgyzstan,KGZ,2000,35731,347830,948280,1845478,1721081
Kyrgyzstan,KGZ,2001,43390,302931,1205828,1841536,1551415
Kyrgyzstan,KGZ,2002,51408,384250,1212499,1930346,1412197
Kyrgyzstan,KGZ,2003,46299,396245,1368619,2105340,1126797
Kyrgyzstan,KGZ,2004,444252,883978,1673122,1598574,504774
Kyrgyzstan,KGZ,2005,207296,828483,1726431,1777937,622453
Kyrgyzstan,KGZ,2006,547041,1202446,1685957,1403667,379289
Kyrgyzstan,KGZ,2007,440512,1302047,1898124,1210106,417611
Kyrgyzstan,KGZ,2008,508721,1680155,2059789,917353,152682
Kyrgyzstan,KGZ,2009,551164,1720547,2251253,786986,73350
Kyrgyzstan,KGZ,2010,479094,1658771,2273174,883415,153446
Kyrgyzstan,KGZ,2011,434812,1762317,2405297,862059,50115
Kyrgyzstan,KGZ,2012,389630,1658798,2600515,819077,139180
Kyrgyzstan,KGZ,2013,423251,1620010,2456068,1093054,127217
Kyrgyzstan,KGZ,2014,429026,1864560,2671822,819703,50389
Kyrgyzstan,KGZ,2015,427780,1723985,2706484,989433,109218
Kyrgyzstan,KGZ,2016,500662,1845481,2877398,794839,61120
Kyrgyzstan,KGZ,2017,474693,1974324,2836621,845459,67103
Kyrgyzstan,KGZ,2018,613599,2242380,2776822,653971,36028
Kyrgyzstan,KGZ,2019,669811,2390498,2771220,588818,35853
Kyrgyzstan,KGZ,2020,605242,2158704,2758603,997748,71303
Laos,LAO,1992,95929,351502,1003013,1649624,1400278
Laos,LAO,1997,56329,214735,640035,1576265,2562944
Laos,LAO,2002,92751,354789,1148513,2134695,1762499
Laos,LAO,2007,178597,522790,1430522,2283512,1529529
Laos,LAO,2012,357819,1014194,2070438,2066755,935321
Laos,LAO,2018,632783,1454582,2330712,1938465,704956
Latin America and the Caribbean,,1981,108560277,79558100,74562961,51229363,50421692
Latin America and the Caribbean,,1982,107636336,80863338,75461937,54458321,53984705
Latin America and the Caribbean,,1983,100152430,77859037,76138809,60772856,65628538
Latin America and the Caribbean,,1984,102275234,80174633,78527229,61719727,66034608
Latin America and the Caribbean,,1985,107958187,85607047,79883701,60734496,62728045
Latin America and the Caribbean,,1986,132807493,92294988,79634850,54058233,46280929
Latin America and the Caribbean,,1987,121997083,91457435,83574980,58342694,57852891
Latin America and the Caribbean,,1988,120109540,94113901,84916751,59099003,63116578
Latin America and the Caribbean,,1989,123917763,97109115,88183614,58266273,61995093
Latin America and the Caribbean,,1990,118289599,99060553,90277432,61821608,68124083
Latin America and the Caribbean,,1991,121079592,103717879,93854290,61498926,65498048
Latin America and the Caribbean,,1992,119925412,108342856,95691088,62876170,66850300
Latin America and the Caribbean,,1993,124811995,108077336,96337098,65094374,67362472
Latin America and the Caribbean,,1994,135057270,110282778,97941530,62881349,63481304
Latin America and the Caribbean,,1995,137324588,112245494,96901511,66274400,64822684
Latin America and the Caribbean,,1996,137399093,108731102,96921272,68107132,74298597
Latin America and the Caribbean,,1997,145600965,112154833,97906539,66458332,71177927
Latin America and the Caribbean,,1998,149664451,116889565,101362040,64476862,68673964
Latin America and the Caribbean,,1999,147933664,119955438,102493306,67776428,70563277
Latin America and the Caribbean,,2000,159350992,123100707,103775466,64029560,65986481
Latin America and the Caribbean,,2001,163501128,124550836,104433468,65448210,65673762
Latin America and the Caribbean,,2002,164036559,129150571,106236421,68240513,63151566
Latin America and the Caribbean,,2003,168512807,131404804,108140727,68382232,61446177
Latin America and the Caribbean,,2004,178157977,135059895,109820618,65368822,56453236
Latin America and the Caribbean,,2005,192825504,138001367,106333812,60557928,54043983
Latin America and the Caribbean,,2006,214173832,143538966,101239086,55101182,44542366
Latin America and the Caribbean,,2007,228145415,143714982,98888675,51852240,42754475
Latin America and the Caribbean,,2008,241083278,145117564,95694710,49760382,40400255
Latin America and the Caribbean,,2009,244964387,148068333,98694939,48332105,38650908
Latin America and the Caribbean,,2010,257572135,150447807,96907206,44848063,35445339
Latin America and the Caribbean,,2011,271484923,151363418,94091663,41792719,33126133
Latin America and the Caribbean,,2012,284498835,151746502,91443311,42595966,28165389
Latin America and the Caribbean,,2013,294113540,152075633,92579881,40666129,25547270
Latin America and the Caribbean,,2014,298883103,156639340,91688251,40071474,24152353
Latin America and the Caribbean,,2015,308326409,155561776,90582607,39290478,24027199
Latin America and the Caribbean,,2016,313182950,156091193,89793168,39456385,25514231
Latin America and the Caribbean,,2017,320810219,157448244,88543378,37778512,25603214
Latin America and the Caribbean,,2018,326844462,158702188,87540319,37802582,25337029
Latin America and the Caribbean,,2019,332677674,158061740,87773581,37605752,26049414
Latvia,LVA,1993,603261,1192702,698872,68455,0
Latvia,LVA,1995,842608,1100958,403425,138065,0
Latvia,LVA,1996,766870,1120171,397393,135267,37521
Latvia,LVA,1997,767131,944696,524991,146592,49441
Latvia,LVA,1998,765600,1013207,463180,128980,39052
Latvia,LVA,2002,1185169,777667,268294,64780,14263
Latvia,LVA,2003,1329710,703201,190168,52572,12304
Latvia,LVA,2004,1374737,622675,215515,44484,5711
Latvia,LVA,2005,1269489,656093,205133,57692,50392
Latvia,LVA,2006,1581614,465613,112827,26077,32226
Latvia,LVA,2007,1728725,367679,86480,16972,469
Latvia,LVA,2008,1689212,394251,80034,13234,591
Latvia,LVA,2009,1462955,515084,133850,23515,6265
Latvia,LVA,2010,1510257,388978,121888,42116,34316
Latvia,LVA,2011,1501120,380385,119210,39083,19911
Latvia,LVA,2012,1512722,370102,98037,32466,20992
Latvia,LVA,2013,1612836,279857,71640,25395,22919
Latvia,LVA,2014,1660578,223424,73536,20466,15778
Latvia,LVA,2015,1722248,178186,45503,19403,12187
Latvia,LVA,2016,1723076,166713,42363,14980,12405
Latvia,LVA,2017,1729760,146793,36510,14578,14607
Latvia,LVA,2018,1769674,110006,29970,10934,6590
Latvia,LVA,2019,1768218,107692,24190,9146,4576
Lebanon,LBN,2011,4712770,401738,84334,3180,0
Lesotho,LSO,1986,90114,147620,244574,304022,775357
Lesotho,LSO,1994,197558,209279,255868,259479,939139
Lesotho,LSO,2002,40047,116879,240466,375220,1257220
Lesotho,LSO,2017,181521,379297,487895,473420,569399
Liberia,LBR,2007,12988,64449,223130,690059,2471285
Liberia,LBR,2014,40882,217351,770125,1512368,1818782
Liberia,LBR,2016,41306,272137,805134,1430183,2038028
Lithuania,LTU,1993,236064,853440,1491515,858321,243273
Lithuania,LTU,1996,1383989,1444616,603538,169470,0
Lithuania,LTU,1998,1525713,1382425,530706,99037,11450
Lithuania,LTU,1999,1501067,1384903,495819,132119,10330
Lithuania,LTU,2000,1365683,1377157,596204,151910,8582
Lithuania,LTU,2001,1320072,1376069,611121,143476,20080
Lithuania,LTU,2002,1311859,1371116,606485,137351,16256
Lithuania,LTU,2003,1927003,1074977,352098,54486,6649
Lithuania,LTU,2004,2007121,991815,308941,66075,3123
Lithuania,LTU,2005,2134180,787169,256877,85104,59198
Lithuania,LTU,2006,2539147,499221,141341,40399,49801
Lithuania,LTU,2007,2708954,383664,77178,18213,43285
Lithuania,LTU,2008,2305033,707561,150061,30798,4778
Lithuania,LTU,2009,2364231,518609,144494,64630,70952
Lithuania,LTU,2010,2269475,573825,158271,48188,47523
Lithuania,LTU,2011,2383533,485350,113214,24804,21214
Lithuania,LTU,2012,2366627,457693,103382,31753,28318
Lithuania,LTU,2013,2397975,414940,86625,37297,20852
Lithuania,LTU,2014,2418078,372183,64156,40943,37007
Lithuania,LTU,2015,2479316,303478,80820,20385,20911
Lithuania,LTU,2016,2484200,254667,66329,26594,36441
Lithuania,LTU,2017,2525109,197200,63805,13368,28921
Lithuania,LTU,2018,2557551,176024,32533,9520,25915
Lithuania,LTU,2019,2637631,116760,20506,3930,15310
Luxembourg,LUX,1985,364086,1755,0,865,0
Luxembourg,LUX,1991,387000,0,0,0,0
Luxembourg,LUX,1994,402076,849,0,0,0
Luxembourg,LUX,1997,417663,1098,689,0,0
Luxembourg,LUX,2000,436300,0,0,0,0
Luxembourg,LUX,2003,448853,604,1816,33,324
Luxembourg,LUX,2004,456552,1273,174,13,83
Luxembourg,LUX,2005,463390,1223,123,261,161
Luxembourg,LUX,2006,471430,1075,114,18,0
Luxembourg,LUX,2007,479460,401,27,0,105
Luxembourg,LUX,2008,486916,1734,0,0,0
Luxembourg,LUX,2009,495823,875,789,76,220
Luxembourg,LUX,2010,505325,1206,246,176,0
Luxembourg,LUX,2011,516399,1157,73,109,609
Luxembourg,LUX,2012,528856,323,1448,87,232
Luxembourg,LUX,2013,541785,192,899,0,484
Luxembourg,LUX,2014,554119,793,303,326,778
Luxembourg,LUX,2015,564388,1469,1798,239,1710
Luxembourg,LUX,2016,575515,4776,951,90,682
Luxembourg,LUX,2017,586334,5567,2156,591,1688
Luxembourg,LUX,2018,599810,4631,1342,435,1732
Luxembourg,LUX,2019,617547,859,848,120,627
Madagascar,MDG,1980,307190,692995,1521499,2206674,3988191
Madagascar,MDG,1993,119543,317957,1002131,2369904,8865934
Madagascar,MDG,1997,88917,363144,1387727,2976992,9531080
Madagascar,MDG,1999,78045,450021,1583355,3402964,9768139
Madagascar,MDG,2001,249841,672868,1573919,2639033,11125272
